Match Number,Round Number,Date,Location,Home Team,Away Team,Result
226,26,15/03/2025 23:00,Stade Raymond Kopa,Angers SCO,AS Monaco,
227,26,15/03/2025 23:00,Stade Francis-Le Blé,Stade Brestois 29,Stade DE Reims,
228,26,15/03/2025 23:00,Stade Bollaert-Delelis,RC Lens,Stade Rennais FC,
229,26,15/03/2025 23:00,Groupama Stadium,Olympique Lyonnais,Havre Athletic Club,
230,26,15/03/2025 23:00,Stade de la Mosson,Montpellier Hérault SC,AS Saint-Étienne,
231,26,15/03/2025 23:00,Stade de la Beaujoire,FC Nantes,LOSC Lille,
232,26,15/03/2025 23:00,Allianz Riviera,OGC Nice,AJ Auxerre,
233,26,15/03/2025 23:00,Parc des Princes,Paris Saint-Germain,Olympique de Marseille,
234,26,15/03/2025 23:00,Stade de la Meinau,RC Strasbourg Alsace,Toulouse FC,
235,27,29/03/2025 23:00,Stade Raymond Kopa,Angers SCO,Stade Rennais FC,
236,27,29/03/2025 23:00,Stade de l'Abbé-Deschamps,AJ Auxerre,Montpellier Hérault SC,
237,27,29/03/2025 23:00,Stade Océane,Havre Athletic Club,FC Nantes,
238,27,29/03/2025 23:00,Decathlon Arena Pierre Mauroy Stadium,LOSC Lille,RC Lens,
239,27,29/03/2025 23:00,Stade Louis II,AS Monaco,OGC Nice,
240,27,29/03/2025 23:00,Stade Auguste Delaune,Stade DE Reims,Olympique de Marseille,
241,27,29/03/2025 23:00,Stade Geoffroy-Guichard,AS Saint-Étienne,Paris Saint-Germain,
242,27,29/03/2025 23:00,Stade de la Meinau,RC Strasbourg Alsace,Olympique Lyonnais,
243,27,29/03/2025 23:00,Stadium Municipal,Toulouse FC,Stade Brestois 29,
244,28,05/04/2025 22:00,Stade Francis-Le Blé,Stade Brestois 29,AS Monaco,
245,28,05/04/2025 22:00,Stade Bollaert-Delelis,RC Lens,AS Saint-Étienne,
246,28,05/04/2025 22:00,Groupama Stadium,Olympique Lyonnais,LOSC Lille,
247,28,05/04/2025 22:00,Orange Vélodrome,Olympique de Marseille,Toulouse FC,
248,28,05/04/2025 22:00,Stade de la Mosson,Montpellier Hérault SC,Havre Athletic Club,
249,28,05/04/2025 22:00,Allianz Riviera,OGC Nice,FC Nantes,
250,28,05/04/2025 22:00,Parc des Princes,Paris Saint-Germain,Angers SCO,
251,28,05/04/2025 22:00,Stade Auguste Delaune,Stade DE Reims,RC Strasbourg Alsace,
252,28,05/04/2025 22:00,Roazhon Park,Stade Rennais FC,AJ Auxerre,
253,29,12/04/2025 22:00,Stade Raymond Kopa,Angers SCO,Montpellier Hérault SC,
254,29,12/04/2025 22:00,Stade de l'Abbé-Deschamps,AJ Auxerre,Olympique Lyonnais,
